order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
18,1,centralized,Off-Peak,Central Road + Metro,2.3434,1.1717,3515.17,0.1406,road
18,1,centralized,Off-Peak,Central Road + Waterbus,2.3434,1.1717,3515.17,0.1406,road
18,1,centralized,Off-Peak,Central Full Multimodal,2.3434,1.1717,3515.17,0.1406,road
18,1,centralized,Peak,Central Road Only,5.8586,1.1717,3515.17,0.1406,road
18,1,centralized,Peak,Central Road + Metro,5.8586,1.1717,3515.17,0.1406,road
18,1,centralized,Peak,Central Road + Waterbus,5.8586,1.1717,3515.17,0.1406,road
18,1,centralized,Peak,Central Full Multimodal,5.8586,1.1717,3515.17,0.1406,road
19,2,nearest,Off-Peak,Road Only,1.9622,0.9811,2943.34,0.1177,road
19,2,nearest,Off-Peak,Road + Metro,1.9622,0.9811,2943.34,0.1177,road
19,2,nearest,Off-Peak,Road + Waterbus,1.9622,0.9811,2943.34,0.1177,road
19,2,nearest,Off-Peak,Full Multimodal,1.9622,0.9811,2943.34,0.1177,road
19,2,nearest,Peak,Road Only,4.9056,0.9811,2943.34,0.1177,road
19,2,nearest,Peak,Road + Metro,4.9056,0.9811,2943.34,0.1177,road
19,2,nearest,Peak,Road + Waterbus,4.9056,0.9811,2943.34,0.1177,road
19,2,nearest,Peak,Full Multimodal,4.9056,0.9811,2943.34,0.1177,road
19,1,centralized,Off-Peak,Central Road Only,1.6136,0.8068,2420.47,0.0968,road
19,1,centralized,Off-Peak,Central Road + Metro,1.6136,0.8068,2420.47,0.0968,road
19,1,centralized,Off-Peak,Central Road + Waterbus,1.6136,0.8068,2420.47,0.0968,road
19,1,centralized,Off-Peak,Central Full Multimodal,1.6136,0.8068,2420.47,0.0968,road
19,1,centralized,Peak,Central Road Only,4.0341,0.8068,2420.47,0.0968,road
19,1,centralized,Peak,Central Road + Metro,4.0341,0.8068,2420.47,0.0968,road
19,1,centralized,Peak,Central Road + Waterbus,4.0341,0.8068,2420.47,0.0968,road
19,1,centralized,Peak,Central Full Multimodal,4.0341,0.8068,2420.47,0.0968,road
20,1,nearest,Off-Peak,Road Only,1.7231,0.8615,2584.64,0.1034,road
20,1,nearest,Off-Peak,Road + Metro,1.7231,0.8615,2584.64,0.1034,road
20,1,nearest,Off-Peak,Road + Waterbus,1.7231,0.8615,2584.64,0.1034,road
20,1,nearest,Off-Peak,Full Multimodal,1.7231,0.8615,2584.64,0.1034,road
20,1,nearest,Peak,Road Only,4.3077,0.8615,2584.64,0.1034,road
20,1,nearest,Peak,Road + Metro,4.3077,0.8615,2584.64,0.1034,road
20,1,nearest,Peak,Road + Waterbus,4.3077,0.8615,2584.64,0.1034,road
20,1,nearest,Peak,Full Multimodal,4.3077,0.8615,2584.64,0.1034,road
20,1,centralized,Off-Peak,Central Road Only,1.7231,0.8615,2584.64,0.1034,road
20,1,centralized,Off-Peak,Central Road + Metro,1.7231,0.8615,2584.64,0.1034,road
20,1,centralized,Off-Peak,Central Road + Waterbus,1.7231,0.8615,2584.64,0.1034,road
20,1,centralized,Off-Peak,Central Full Multimodal,1.7231,0.8615,2584.64,0.1034,road
20,1,centralized,Peak,Central Road Only,4.3077,0.8615,2584.64,0.1034,road
20,1,centralized,Peak,Central Road + Metro,4.3077,0.8615,2584.64,0.1034,road
20,1,centralized,Peak,Central Road + Waterbus,4.3077,0.8615,2584.64,0.1034,road
20,1,centralized,Peak,Central Full Multimodal,4.3077,0.8615,2584.64,0.1034,road
21,2,nearest,Off-Peak,Road Only,2.1475,1.0738,3221.27,0.1289,road
21,2,nearest,Off-Peak,Road + Metro,2.1475,1.0738,3221.27,0.1289,road
21,2,nearest,Off-Peak,Road + Waterbus,2.1475,1.0738,3221.27,0.1289,road
21,2,nearest,Off-Peak,Full Multimodal,2.1475,1.0738,3221.27,0.1289,road
21,2,nearest,Peak,Road Only,5.3688,1.0738,3221.27,0.1289,road
21,2,nearest,Peak,Road + Metro,5.3688,1.0738,3221.27,0.1289,road
21,2,nearest,Peak,Road + Waterbus,5.3688,1.0738,3221.27,0.1289,road
21,2,nearest,Peak,Full Multimodal,5.3688,1.0738,3221.27,0.1289,road
21,1,centralized,Off-Peak,Central Road Only,3.5935,1.7968,5390.25,0.2156,road
21,1,centralized,Off-Peak,Central Road + Metro,3.5935,1.7968,5390.25,0.2156,road
21,1,centralized,Off-Peak,Central Road + Waterbus,3.5935,1.7968,5390.25,0.2156,road
21,1,centralized,Off-Peak,Central Full Multimodal,3.5935,1.7968,5390.25,0.2156,road
